epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.5562,1.79248,1.53054,2.01384,0.5846,0.57215,0.56265,0.20552,1.99587,2.01136,2.03011,0.000327273,0.000327273,0.0676
2,129.662,1.62577,1.2924,1.84193,0.31372,0.3443,0.26984,0.08951,2.3743,2.32189,2.10279,0.000660534,0.000660534,0.0345999
3,179.812,1.54969,1.24021,1.77533,0.27921,0.45307,0.21171,0.05941,2.49471,6.42119,2.60759,0.000993508,0.000993508,0.00159957
4,230.647,1.51261,1.21023,1.74457,0.53941,0.61266,0.54022,0.19092,2.2113,1.87308,2.49864,0.000999023,0.000999023,0.000999023
5,280.983,1.44866,1.16417,1.69075,0.52553,0.67848,0.54763,0.21386,1.97624,2.44287,2.4259,0.000998264,0.000998264,0.000998264
6,332.077,1.4679,1.12869,1.69109,0.75613,0.78734,0.82885,0.35538,1.72597,1.1793,1.76808,0.000997288,0.000997288,0.000997288
7,382.986,1.39661,1.1293,1.66773,0.37519,0.48861,0.35644,0.15262,1.98013,2.09767,2.03989,0.000996097,0.000996097,0.000996097
8,433.839,1.40761,1.1015,1.63957,0.53782,0.52405,0.48284,0.21923,2.23967,1.50925,2.16676,0.00099469,0.00099469,0.00099469
9,484.653,1.3342,1.06367,1.60499,0.63634,0.68354,0.62666,0.30407,1.75004,1.45101,1.86436,0.000993068,0.000993068,0.000993068
10,535.72,1.302,1.0453,1.59803,0.71884,0.66835,0.69976,0.36263,1.5106,1.41898,1.61298,0.000991232,0.000991232,0.000991232
11,586.808,1.31961,1.02632,1.58278,0.82124,0.76456,0.83516,0.43099,1.50803,1.20071,1.57578,0.000989183,0.000989183,0.000989183
12,637.861,1.31654,1.01527,1.58671,0.81507,0.7519,0.79334,0.38444,1.68772,0.9478,1.71608,0.000986922,0.000986922,0.000986922
